Dates,MXEU Index_Last,MXEU Index_Open,MXEU Index_High,MXEU Index_Low,MXEU Index_Volume
1992-05-05,,,,,
1992-05-06,,,,,
1992-05-07,,,,,
1992-05-08,,,,,
1992-05-11,,,,,
1992-05-12,,,,,
1992-05-13,,,,,
1992-05-14,,,,,
1992-05-15,,,,,
1992-05-18,,,,,
1992-05-19,,,,,
1992-05-20,,,,,
1992-05-21,,,,,
1992-05-22,,,,,
1992-05-25,,,,,
1992-05-26,,,,,
1992-05-27,,,,,
1992-05-28,,,,,
1992-05-29,,,,,
1992-06-01,,,,,
1992-06-02,,,,,
1992-06-03,,,,,
1992-06-04,,,,,
1992-06-05,,,,,
1992-06-08,,,,,
1992-06-09,,,,,
1992-06-10,,,,,
1992-06-11,,,,,
1992-06-12,,,,,
1992-06-15,,,,,
1992-06-16,,,,,
1992-06-17,,,,,
1992-06-18,,,,,
1992-06-19,,,,,
1992-06-22,,,,,
1992-06-23,,,,,
1992-06-24,,,,,
1992-06-25,,,,,
1992-06-26,,,,,
1992-06-29,,,,,
1992-06-30,,,,,
1992-07-01,,,,,
1992-07-02,,,,,
1992-07-03,,,,,
1992-07-06,,,,,
1992-07-07,,,,,
1992-07-08,,,,,
1992-07-09,,,,,
1992-07-10,,,,,
1992-07-13,,,,,
1992-07-14,,,,,
1992-07-15,,,,,
1992-07-16,,,,,
1992-07-17,,,,,
1992-07-20,,,,,
1992-07-21,,,,,
1992-07-22,,,,,
1992-07-23,,,,,
1992-07-24,,,,,
1992-07-27,,,,,
1992-07-28,,,,,
1992-07-29,,,,,
1992-07-30,,,,,
1992-07-31,,,,,
1992-08-03,,,,,
1992-08-04,,,,,
1992-08-05,,,,,
1992-08-06,,,,,
1992-08-07,,,,,
1992-08-10,,,,,
1992-08-11,,,,,
1992-08-12,,,,,
1992-08-13,,,,,
1992-08-14,,,,,
1992-08-17,,,,,
1992-08-18,,,,,
1992-08-19,,,,,
1992-08-20,,,,,
1992-08-21,,,,,
1992-08-24,,,,,
1992-08-25,,,,,
1992-08-26,,,,,
1992-08-27,,,,,
1992-08-28,,,,,
1992-08-31,,,,,
1992-09-01,,,,,
1992-09-02,,,,,
1992-09-03,,,,,
1992-09-04,,,,,
1992-09-07,,,,,
1992-09-08,,,,,
1992-09-09,,,,,
1992-09-10,,,,,
1992-09-11,,,,,
1992-09-14,,,,,
1992-09-15,,,,,
1992-09-16,,,,,
1992-09-17,,,,,
1992-09-18,,,,,
1992-09-21,,,,,
1992-09-22,,,,,
1992-09-23,,,,,
1992-09-24,,,,,
1992-09-25,,,,,
1992-09-28,,,,,
1992-09-29,,,,,
1992-09-30,,,,,
1992-10-01,,,,,
1992-10-02,,,,,
1992-10-05,,,,,
1992-10-06,,,,,
1992-10-07,,,,,
1992-10-08,,,,,
1992-10-09,,,,,
1992-10-12,,,,,
1992-10-13,,,,,
1992-10-14,,,,,
1992-10-15,,,,,
1992-10-16,,,,,
1992-10-19,,,,,
1992-10-20,,,,,
1992-10-21,,,,,
1992-10-22,,,,,
1992-10-23,,,,,
1992-10-26,,,,,
1992-10-27,,,,,
1992-10-28,,,,,
1992-10-29,,,,,
1992-10-30,,,,,
1992-11-02,,,,,
1992-11-03,,,,,
1992-11-04,,,,,
1992-11-05,,,,,
1992-11-06,,,,,
1992-11-09,,,,,
1992-11-10,,,,,
1992-11-11,,,,,
1992-11-12,,,,,
1992-11-13,,,,,
1992-11-16,,,,,
1992-11-17,,,,,
1992-11-18,,,,,
1992-11-19,,,,,
1992-11-20,,,,,
1992-11-23,,,,,
1992-11-24,,,,,
1992-11-25,,,,,
1992-11-26,,,,,
1992-11-27,,,,,
1992-11-30,,,,,
1992-12-01,,,,,
1992-12-02,,,,,
1992-12-03,,,,,
1992-12-04,,,,,
1992-12-07,,,,,
1992-12-08,,,,,
1992-12-09,,,,,
1992-12-10,,,,,
1992-12-11,,,,,
1992-12-14,,,,,
1992-12-15,,,,,
1992-12-16,,,,,
1992-12-17,,,,,
1992-12-18,,,,,
1992-12-21,,,,,
1992-12-22,,,,,
1992-12-23,,,,,
1992-12-24,,,,,
1992-12-25,,,,,
1992-12-28,,,,,
1992-12-29,,,,,
1992-12-30,,,,,
1992-12-31,,,,,
1993-01-01,,,,,
1993-01-04,,,,,
1993-01-05,,,,,
1993-01-06,,,,,
1993-01-07,,,,,
1993-01-08,,,,,
1993-01-11,,,,,
1993-01-12,,,,,
1993-01-13,,,,,
1993-01-14,,,,,
1993-01-15,,,,,
1993-01-18,,,,,
1993-01-19,,,,,
1993-01-20,,,,,
1993-01-21,,,,,
1993-01-22,,,,,
1993-01-25,,,,,
1993-01-26,,,,,
1993-01-27,,,,,
1993-01-28,,,,,
1993-01-29,,,,,
1993-02-01,,,,,
1993-02-02,,,,,
1993-02-03,,,,,
1993-02-04,,,,,
1993-02-05,,,,,
1993-02-08,,,,,
1993-02-09,,,,,
1993-02-10,,,,,
1993-02-11,,,,,
1993-02-12,,,,,
1993-02-15,,,,,
1993-02-16,,,,,
1993-02-17,,,,,
1993-02-18,,,,,
1993-02-19,,,,,
1993-02-22,,,,,
1993-02-23,,,,,
1993-02-24,,,,,
1993-02-25,,,,,
1993-02-26,,,,,
1993-03-01,,,,,
1993-03-02,,,,,
1993-03-03,,,,,
1993-03-04,,,,,
1993-03-05,,,,,
1993-03-08,,,,,
1993-03-09,,,,,
1993-03-10,,,,,
1993-03-11,,,,,
1993-03-12,,,,,
1993-03-15,,,,,
1993-03-16,,,,,
1993-03-17,,,,,
1993-03-18,,,,,
1993-03-19,,,,,
1993-03-22,,,,,
1993-03-23,,,,,
1993-03-24,,,,,
1993-03-25,,,,,
1993-03-26,,,,,
1993-03-29,,,,,
1993-03-30,,,,,
1993-03-31,,,,,
1993-04-01,,,,,
1993-04-02,,,,,
1993-04-05,,,,,
1993-04-06,,,,,
1993-04-07,,,,,
1993-04-08,,,,,
1993-04-09,,,,,
1993-04-12,,,,,
1993-04-13,,,,,
1993-04-14,,,,,
1993-04-15,,,,,
1993-04-16,,,,,
1993-04-19,,,,,
1993-04-20,,,,,
1993-04-21,,,,,
1993-04-22,,,,,
1993-04-23,,,,,
1993-04-26,,,,,
1993-04-27,,,,,
1993-04-28,,,,,
1993-04-29,,,,,
1993-04-30,,,,,
1993-05-03,,,,,
1993-05-04,,,,,
1993-05-05,,,,,
1993-05-06,,,,,
1993-05-07,,,,,
1993-05-10,,,,,
1993-05-11,,,,,
1993-05-12,,,,,
1993-05-13,,,,,
1993-05-14,,,,,
1993-05-17,,,,,
1993-05-18,,,,,
1993-05-19,,,,,
1993-05-20,,,,,
1993-05-21,,,,,
1993-05-24,,,,,
1993-05-25,,,,,
1993-05-26,,,,,
1993-05-27,,,,,
1993-05-28,,,,,
1993-05-31,,,,,
1993-06-01,,,,,
1993-06-02,,,,,
1993-06-03,,,,,
1993-06-04,,,,,
1993-06-07,,,,,
1993-06-08,,,,,
1993-06-09,,,,,
1993-06-10,,,,,
1993-06-11,,,,,
1993-06-14,,,,,
1993-06-15,,,,,
1993-06-16,,,,,
1993-06-17,,,,,
1993-06-18,,,,,
1993-06-21,,,,,
1993-06-22,,,,,
1993-06-23,,,,,
1993-06-24,,,,,
1993-06-25,,,,,
1993-06-28,,,,,
1993-06-29,,,,,
1993-06-30,,,,,
1993-07-01,,,,,
1993-07-02,,,,,
1993-07-05,,,,,
1993-07-06,,,,,
1993-07-07,,,,,
1993-07-08,,,,,
1993-07-09,,,,,
1993-07-12,,,,,
1993-07-13,,,,,
1993-07-14,,,,,
1993-07-15,,,,,
1993-07-16,,,,,
1993-07-19,,,,,
1993-07-20,,,,,
1993-07-21,,,,,
1993-07-22,,,,,
1993-07-23,,,,,
1993-07-26,,,,,
1993-07-27,,,,,
1993-07-28,,,,,
1993-07-29,,,,,
1993-07-30,,,,,
1993-08-02,,,,,
1993-08-03,,,,,
1993-08-04,,,,,
1993-08-05,,,,,
1993-08-06,,,,,
1993-08-09,,,,,
1993-08-10,,,,,
1993-08-11,,,,,
1993-08-12,,,,,
1993-08-13,,,,,
1993-08-16,,,,,
1993-08-17,,,,,
1993-08-18,,,,,
1993-08-19,,,,,
1993-08-20,,,,,
1993-08-23,,,,,
1993-08-24,,,,,
1993-08-25,,,,,
1993-08-26,,,,,
1993-08-27,,,,,
1993-08-30,,,,,
1993-08-31,,,,,
1993-09-01,,,,,
1993-09-02,,,,,
1993-09-03,,,,,
1993-09-06,,,,,
1993-09-07,,,,,
1993-09-08,,,,,
1993-09-09,,,,,
1993-09-10,,,,,
1993-09-13,,,,,
1993-09-14,,,,,
1993-09-15,,,,,
1993-09-16,,,,,
1993-09-17,,,,,
1993-09-20,,,,,
1993-09-21,,,,,
1993-09-22,,,,,
1993-09-23,,,,,
1993-09-24,,,,,
1993-09-27,,,,,
1993-09-28,,,,,
1993-09-29,,,,,
1993-09-30,,,,,
1993-10-01,,,,,
1993-10-04,,,,,
1993-10-05,,,,,
1993-10-06,,,,,
1993-10-07,,,,,
1993-10-08,,,,,
1993-10-11,,,,,
1993-10-12,,,,,
1993-10-13,,,,,
1993-10-14,,,,,
1993-10-15,,,,,
1993-10-18,,,,,
1993-10-19,,,,,
1993-10-20,,,,,
1993-10-21,,,,,
1993-10-22,,,,,
1993-10-25,,,,,
1993-10-26,,,,,
1993-10-27,,,,,
1993-10-28,,,,,
1993-10-29,,,,,
1993-11-01,,,,,
1993-11-02,,,,,
1993-11-03,,,,,
1993-11-04,,,,,
1993-11-05,,,,,
1993-11-08,,,,,
1993-11-09,,,,,
1993-11-10,,,,,
1993-11-11,,,,,
1993-11-12,,,,,
1993-11-15,,,,,
1993-11-16,,,,,
1993-11-17,,,,,
1993-11-18,,,,,
1993-11-19,,,,,
1993-11-22,,,,,
1993-11-23,,,,,
1993-11-24,,,,,
1993-11-25,,,,,
1993-11-26,,,,,
1993-11-29,,,,,
1993-11-30,,,,,
1993-12-01,,,,,
1993-12-02,,,,,
1993-12-03,,,,,
1993-12-06,,,,,
1993-12-07,,,,,
1993-12-08,,,,,
1993-12-09,,,,,
1993-12-10,,,,,
1993-12-13,,,,,
1993-12-14,,,,,
1993-12-15,,,,,
1993-12-16,,,,,
1993-12-17,,,,,
1993-12-20,,,,,
1993-12-21,,,,,
1993-12-22,,,,,
1993-12-23,,,,,
1993-12-24,,,,,
1993-12-27,,,,,
1993-12-28,,,,,
1993-12-29,,,,,
1993-12-30,,,,,
1993-12-31,,,,,
1994-01-03,,,,,
1994-01-04,,,,,
1994-01-05,,,,,
1994-01-06,,,,,
1994-01-07,,,,,
1994-01-10,,,,,
1994-01-11,,,,,
1994-01-12,,,,,
1994-01-13,,,,,
1994-01-14,,,,,
1994-01-17,,,,,
1994-01-18,,,,,
1994-01-19,,,,,
1994-01-20,,,,,
1994-01-21,,,,,
1994-01-24,,,,,
1994-01-25,,,,,
1994-01-26,,,,,
1994-01-27,,,,,
1994-01-28,,,,,
1994-01-31,,,,,
1994-02-01,,,,,
1994-02-02,,,,,
1994-02-03,,,,,
1994-02-04,,,,,
1994-02-07,,,,,
1994-02-08,,,,,
1994-02-09,,,,,
1994-02-10,,,,,
1994-02-11,,,,,
1994-02-14,,,,,
1994-02-15,,,,,
1994-02-16,,,,,
1994-02-17,,,,,
1994-02-18,,,,,
1994-02-21,,,,,
1994-02-22,,,,,
1994-02-23,,,,,
1994-02-24,,,,,
1994-02-25,,,,,
1994-02-28,,,,,
1994-03-01,,,,,
1994-03-02,,,,,
1994-03-03,,,,,
1994-03-04,,,,,
1994-03-07,,,,,
1994-03-08,,,,,
1994-03-09,,,,,
1994-03-10,,,,,
1994-03-11,,,,,
1994-03-14,,,,,
1994-03-15,,,,,
1994-03-16,,,,,
1994-03-17,,,,,
1994-03-18,,,,,
1994-03-21,,,,,
1994-03-22,,,,,
1994-03-23,,,,,
1994-03-24,,,,,
1994-03-25,,,,,
1994-03-28,,,,,
1994-03-29,,,,,
1994-03-30,,,,,
1994-03-31,,,,,
1994-04-01,,,,,
1994-04-04,,,,,
1994-04-05,,,,,
1994-04-06,,,,,
1994-04-07,,,,,
1994-04-08,,,,,
1994-04-11,,,,,
1994-04-12,,,,,
1994-04-13,,,,,
1994-04-14,,,,,
1994-04-15,,,,,
1994-04-18,,,,,
1994-04-19,,,,,
1994-04-20,,,,,
1994-04-21,,,,,
1994-04-22,,,,,
1994-04-25,,,,,
1994-04-26,,,,,
1994-04-27,,,,,
1994-04-28,,,,,
1994-04-29,,,,,
1994-05-02,,,,,
1994-05-03,,,,,
1994-05-04,,,,,
1994-05-05,,,,,
1994-05-06,,,,,
1994-05-09,,,,,
1994-05-10,,,,,
1994-05-11,,,,,
1994-05-12,,,,,
1994-05-13,,,,,
1994-05-16,,,,,
1994-05-17,,,,,
1994-05-18,,,,,
1994-05-19,,,,,
1994-05-20,,,,,
1994-05-23,,,,,
1994-05-24,,,,,
1994-05-25,,,,,
1994-05-26,,,,,
1994-05-27,,,,,
1994-05-30,,,,,
1994-05-31,,,,,
1994-06-01,,,,,
1994-06-02,,,,,
1994-06-03,,,,,
1994-06-06,,,,,
1994-06-07,,,,,
1994-06-08,,,,,
1994-06-09,,,,,
1994-06-10,,,,,
1994-06-13,,,,,
1994-06-14,,,,,
1994-06-15,,,,,
1994-06-16,,,,,
1994-06-17,,,,,
1994-06-20,,,,,
1994-06-21,,,,,
1994-06-22,,,,,
1994-06-23,,,,,
1994-06-24,,,,,
1994-06-27,,,,,
1994-06-28,,,,,
1994-06-29,,,,,
1994-06-30,,,,,
1994-07-01,,,,,
1994-07-04,,,,,
1994-07-05,,,,,
1994-07-06,,,,,
1994-07-07,,,,,
1994-07-08,,,,,
1994-07-11,,,,,
1994-07-12,,,,,
1994-07-13,,,,,
1994-07-14,,,,,
1994-07-15,,,,,
1994-07-18,,,,,
1994-07-19,,,,,
1994-07-20,,,,,
1994-07-21,,,,,
1994-07-22,,,,,
1994-07-25,,,,,
1994-07-26,,,,,
1994-07-27,,,,,
1994-07-28,,,,,
1994-07-29,,,,,
1994-08-01,,,,,
1994-08-02,,,,,
1994-08-03,,,,,
1994-08-04,,,,,
1994-08-05,,,,,
1994-08-08,,,,,
1994-08-09,,,,,
1994-08-10,,,,,
1994-08-11,,,,,
1994-08-12,,,,,
1994-08-15,,,,,
1994-08-16,,,,,
1994-08-17,,,,,
1994-08-18,,,,,
1994-08-19,,,,,
1994-08-22,,,,,
1994-08-23,,,,,
1994-08-24,,,,,
1994-08-25,,,,,
1994-08-26,,,,,
1994-08-29,,,,,
1994-08-30,,,,,
1994-08-31,,,,,
1994-09-01,,,,,
1994-09-02,,,,,
1994-09-05,,,,,
1994-09-06,,,,,
1994-09-07,,,,,
1994-09-08,,,,,
1994-09-09,,,,,
1994-09-12,,,,,
1994-09-13,,,,,
1994-09-14,,,,,
1994-09-15,,,,,
1994-09-16,,,,,
1994-09-19,,,,,
1994-09-20,,,,,
1994-09-21,,,,,
1994-09-22,,,,,
1994-09-23,,,,,
1994-09-26,,,,,
1994-09-27,,,,,
1994-09-28,,,,,
1994-09-29,,,,,
1994-09-30,,,,,
1994-10-03,,,,,
1994-10-04,,,,,
1994-10-05,,,,,
1994-10-06,,,,,
1994-10-07,,,,,
1994-10-10,,,,,
1994-10-11,,,,,
1994-10-12,,,,,
1994-10-13,,,,,
1994-10-14,,,,,
1994-10-17,,,,,
1994-10-18,,,,,
1994-10-19,,,,,
1994-10-20,,,,,
1994-10-21,,,,,
1994-10-24,,,,,
1994-10-25,,,,,
1994-10-26,,,,,
1994-10-27,,,,,
1994-10-28,,,,,
1994-10-31,,,,,
1994-11-01,,,,,
1994-11-02,,,,,
1994-11-03,,,,,
1994-11-04,,,,,
1994-11-07,,,,,
1994-11-08,,,,,
1994-11-09,,,,,
1994-11-10,,,,,
1994-11-11,,,,,
1994-11-14,,,,,
1994-11-15,,,,,
1994-11-16,,,,,
1994-11-17,,,,,
1994-11-18,,,,,
1994-11-21,,,,,
1994-11-22,,,,,
1994-11-23,,,,,
1994-11-24,,,,,
1994-11-25,,,,,
1994-11-28,,,,,
1994-11-29,,,,,
1994-11-30,,,,,
1994-12-01,,,,,
1994-12-02,,,,,
1994-12-05,,,,,
1994-12-06,,,,,
1994-12-07,,,,,
1994-12-08,,,,,
1994-12-09,,,,,
1994-12-12,,,,,
1994-12-13,,,,,
1994-12-14,,,,,
1994-12-15,,,,,
1994-12-16,,,,,
1994-12-19,,,,,
1994-12-20,,,,,
1994-12-21,,,,,
1994-12-22,,,,,
1994-12-23,,,,,
1994-12-26,,,,,
1994-12-27,,,,,
1994-12-28,,,,,
1994-12-29,,,,,
1994-12-30,,,,,
1995-01-02,,45.33,45.33,45.33,
1995-01-03,,45.33,45.33,45.33,
1995-01-04,,45.39,45.39,45.39,
1995-01-05,,45.08,45.08,45.08,
1995-01-06,,45.24,45.24,45.24,
1995-01-09,,45.09,45.09,45.09,
1995-01-10,,44.96,44.96,44.96,
1995-01-11,,44.91,44.91,44.91,
1995-01-12,,44.79,44.79,44.79,
1995-01-13,,44.94,44.94,44.94,
1995-01-16,,45.37,45.37,45.37,
1995-01-17,,45.13,45.13,45.13,
1995-01-18,,45.18,45.18,45.18,
1995-01-19,,44.99,44.99,44.99,
1995-01-20,,44.59,44.59,44.59,
1995-01-23,,43.88,43.88,43.88,
1995-01-24,,44.02,44.02,44.02,
1995-01-25,,44.08,44.08,44.08,
1995-01-26,,44.41,44.41,44.41,
1995-01-27,,44.45,44.45,44.45,
1995-01-30,,44.31,44.31,44.31,
1995-01-31,,44.18,44.18,44.18,397628704
1995-02-01,,44.63,44.63,44.63,543617536
1995-02-02,,44.69,44.69,44.69,513530880
1995-02-03,,45.05,45.05,45.05,513062240
1995-02-06,,45.35,45.35,45.35,411664864
1995-02-07,,45.42,45.42,45.42,428871680
1995-02-08,,45.27,45.27,45.27,361813280
1995-02-09,,45.64,45.64,45.64,538104832
1995-02-10,,45.77,45.77,45.77,460818240
1995-02-13,,45.51,45.51,45.51,401796832
1995-02-14,,45.57,45.57,45.57,560355968
1995-02-15,,45.58,45.58,45.58,442795360
1995-02-16,,45.25,45.25,45.25,461219200
1995-02-17,,45.03,45.03,45.03,399572224
1995-02-20,,44.74,44.74,44.74,299027072
1995-02-21,,44.74,44.74,44.74,385732224
1995-02-22,,44.6,44.6,44.6,508962848
1995-02-23,,44.92,44.92,44.92,522647552
1995-02-24,,44.79,44.79,44.79,375134912
1995-02-27,,44.55,44.55,44.55,316314720
1995-02-28,,44.48,44.48,44.48,388063552
1995-03-01,,44.85,44.85,44.85,408222784
1995-03-02,,44.81,44.81,44.81,406967552
1995-03-03,,44.5,44.5,44.5,329456608
1995-03-06,,44.06,44.06,44.06,431914496
1995-03-07,,43.69,43.69,43.69,461748384
1995-03-08,,43.43,43.43,43.43,430484640
1995-03-09,,43.16,43.16,43.16,424382592
1995-03-10,,43.34,43.34,43.34,486556640
1995-03-13,,43.27,43.27,43.27,372744640
1995-03-14,,43.64,43.64,43.64,511649344
1995-03-15,,43.61,43.61,43.61,543938240
1995-03-16,,44,44,44,511592992
1995-03-17,,43.94,43.94,43.94,584642432
1995-03-20,,44.21,44.21,44.21,480131584
1995-03-21,,44.31,44.31,44.31,551634048
1995-03-22,,44.22,44.22,44.22,433806272
1995-03-23,,43.98,43.98,43.98,529143520
1995-03-24,,44.11,44.11,44.11,476594784
1995-03-27,,44.28,44.28,44.28,351692544
1995-03-28,,44,44,44,389445472
1995-03-29,,44,44,44,530390752
1995-03-30,,44.51,44.51,44.51,535708800
1995-03-31,,44.17,44.17,44.17,448119424
1995-04-03,,44.21,44.21,44.21,305578368
1995-04-04,,44.77,44.77,44.77,422225088
1995-04-05,,44.78,44.78,44.78,415121632
1995-04-06,,44.99,44.99,44.99,416163360
1995-04-07,,45.15,45.15,45.15,383429696
1995-04-10,,45.04,45.04,45.04,310655136
1995-04-11,,45,45,45,409721312
1995-04-12,,45.12,45.12,45.12,406924832
1995-04-13,,45.17,45.17,45.17,295332768
1995-04-14,,45.2,45.2,45.2,49992000
1995-04-17,,45.21,45.21,45.21,404165
1995-04-18,,44.94,44.94,44.94,229255600
1995-04-19,,44.72,44.72,44.72,436830304
1995-04-20,,44.89,44.89,44.89,445715904
1995-04-21,,45.31,45.31,45.31,450170176
1995-04-24,,45.38,45.38,45.38,310575968
1995-04-25,,45.63,45.63,45.63,380539872
1995-04-26,,45.85,45.85,45.85,493232896
1995-04-27,,45.84,45.84,45.84,536347680
1995-04-28,,45.95,45.95,45.95,529221344
1995-05-01,,46,46,46,188936848
1995-05-02,,46.39,46.39,46.39,488838976
1995-05-03,,46.52,46.52,46.52,459325536
1995-05-04,,46.65,46.65,46.65,460424576
1995-05-05,,46.44,46.44,46.44,366471296
1995-05-08,,46.42,46.42,46.42,114271704
1995-05-09,,46.74,46.74,46.74,298152000
1995-05-10,,47.09,47.09,47.09,565586624
1995-05-11,,47.43,47.43,47.43,590341120
1995-05-12,,47.55,47.55,47.55,408425216
1995-05-15,,47.52,47.52,47.52,418295648
1995-05-16,,47.58,47.58,47.58,432679520
1995-05-17,,47.53,47.53,47.53,529279520
1995-05-18,,47.34,47.34,47.34,567737664
1995-05-19,,46.85,46.85,46.85,425709472
1995-05-22,,47.2,47.2,47.2,266094032
1995-05-23,,47.24,47.24,47.24,432766720
1995-05-24,,47.58,47.58,47.58,462622880
1995-05-25,,47.54,47.54,47.54,412913952
1995-05-26,,47.11,47.11,47.11,377945632
1995-05-29,,47.07,47.07,47.07,65629528
1995-05-30,,47.25,47.25,47.25,281370208
1995-05-31,,47.44,47.44,47.44,376239776
1995-06-01,,47.81,47.81,47.81,411790784
1995-06-02,,47.82,47.82,47.82,405195488
1995-06-05,,47.98,47.98,47.98,269350336
1995-06-06,,48.06,48.06,48.06,434812288
1995-06-07,,47.97,47.97,47.97,438093216
1995-06-08,,47.91,47.91,47.91,436326368
1995-06-09,,47.43,47.43,47.43,383734848
1995-06-12,,47.41,47.41,47.41,348836256
1995-06-13,,47.5,47.5,47.5,422086208
1995-06-14,,47.37,47.37,47.37,476523104
1995-06-15,,47.63,47.63,47.63,419097952
1995-06-16,,47.49,47.49,47.49,437056992
1995-06-19,,47.78,47.78,47.78,377296480
1995-06-20,,47.77,47.77,47.77,404974720
1995-06-21,,47.9,47.9,47.9,412318368
1995-06-22,,48.13,48.13,48.13,499612096
1995-06-23,,47.96,47.96,47.96,356424064
1995-06-26,,47.61,47.61,47.61,306103616
1995-06-27,,47.51,47.51,47.51,360669888
1995-06-28,,47.13,47.13,47.13,402716640
1995-06-29,,47.26,47.26,47.26,370498176
1995-06-30,,47.23,47.23,47.23,346309600
1995-07-03,,47.38,47.38,47.38,240772032
1995-07-04,,47.74,47.74,47.74,394244416
1995-07-05,,48,48,48,440951456
1995-07-06,,47.96,47.96,47.96,430986624
1995-07-07,,48.82,48.82,48.82,632893248
1995-07-10,,48.99,48.99,48.99,434147072
1995-07-11,,49.1,49.1,49.1,462819680
1995-07-12,,49.16,49.16,49.16,473762624
1995-07-13,,49.18,49.18,49.18,483559616
1995-07-14,,49,49,49,426641248
1995-07-17,,49.22,49.22,49.22,300931232
1995-07-18,,48.92,48.92,48.92,430757824
1995-07-19,,48.68,48.68,48.68,392105824
1995-07-20,,48.43,48.43,48.43,330539008
1995-07-21,,48.62,48.62,48.62,382753056
1995-07-24,,48.92,48.92,48.92,295263904
1995-07-25,,49.13,49.13,49.13,394376768
1995-07-26,,49.31,49.31,49.31,462049600
1995-07-27,,49.33,49.33,49.33,493415808
1995-07-28,,49.3,49.3,49.3,366245632
1995-07-31,,49.15,49.15,49.15,318242816
1995-08-01,,49.15,49.15,49.15,347449536
1995-08-02,,49.77,49.77,49.77,600859520
1995-08-03,,49.48,49.48,49.48,442100832
1995-08-04,,49.58,49.58,49.58,446072000
1995-08-07,,49.59,49.59,49.59,395613888
1995-08-08,,49.47,49.47,49.47,361450112
1995-08-09,,49.31,49.31,49.31,405320608
1995-08-10,,49.44,49.44,49.44,424573728
1995-08-11,,49.49,49.49,49.49,387302400
1995-08-14,,49.23,49.23,49.23,231591968
1995-08-15,,49.45,49.45,49.45,301495072
1995-08-16,,49.74,49.74,49.74,546925312
1995-08-17,,49.74,49.74,49.74,431354496
1995-08-18,,50.02,50.02,50.02,478218464
1995-08-21,,50.29,50.29,50.29,357611008
1995-08-22,,50.15,50.15,50.15,411767488
1995-08-23,,50.04,50.04,50.04,430499104
1995-08-24,,49.98,49.98,49.98,645722624
1995-08-25,,49.98,49.98,49.98,312016608
1995-08-28,,49.72,49.72,49.72,91900592
1995-08-29,,49.55,49.55,49.55,331451616
1995-08-30,,49.7,49.7,49.7,411222976
1995-08-31,,49.39,49.39,49.39,483146688
1995-09-01,,49.56,49.56,49.56,437771488
1995-09-04,,49.76,49.76,49.76,358619072
1995-09-05,,49.95,49.95,49.95,407236000
1995-09-06,,50.26,50.26,50.26,607995648
1995-09-07,,50.16,50.16,50.16,529850688
1995-09-08,,50.24,50.24,50.24,504013280
1995-09-11,,50.2,50.2,50.2,386567680
1995-09-12,,50.23,50.23,50.23,441472736
1995-09-13,,50.59,50.59,50.59,542144512
1995-09-14,,50.61,50.61,50.61,490898304
1995-09-15,,50.66,50.66,50.66,786362752
1995-09-18,,50.33,50.33,50.33,398710720
1995-09-19,,50.51,50.51,50.51,429971840
1995-09-20,,50.48,50.48,50.48,514286016
1995-09-21,,50.32,50.32,50.32,446242592
1995-09-22,,49.46,49.46,49.46,522746720
1995-09-25,,49.4,49.4,49.4,382277184
